Bat,Gene-1,Gene-2,Gene-3,Gene-4,Gene-5,Ebola
1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
3,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
9,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
10,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
12,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
13,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
14,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
16,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
17,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
18,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
19,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
20,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
24,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
25,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
26,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
27,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
28,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
29,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
30,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
31,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
32,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
33,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
34,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
35,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
36,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
37,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
38,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
39,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
40,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
41,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
42,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
43,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
44,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
45,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
46,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
47,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
48,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
49,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
50,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
51,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
52,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
53,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
54,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
55,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
56,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
57,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
